id	x	y	status	Site	Desert
315	71.653	61.577	Dead	Burned	Sonora
316	71.481	59.054	Dead	Burned	Sonora
317	75.487	55.139	Dead	Burned	Sonora
318	78.015	57.191	Dead	Burned	Sonora
319	79.259	57.988	Dead	Burned	Sonora
320	76.278	40.819	Dead	Burned	Sonora
321	75.935	38.505	Dead	Burned	Sonora
322	80.804	29.267	Dead	Burned	Sonora
323	75.702	28.237	Dead	Burned	Sonora
324	74.213	30.494	Dead	Burned	Sonora
325	71.127	31.795	Dead	Burned	Sonora
326	75.197	25.285	Dead	Burned	Sonora
327	70.483	25.650	Dead	Burned	Sonora
328	69.991	27.215	Dead	Burned	Sonora
329	67.687	24.637	Dead	Burned	Sonora
330	63.757	23.948	Dead	Burned	Sonora
331	60.419	23.634	Dead	Burned	Sonora
332	58.673	29.202	Dead	Burned	Sonora
333	57.403	28.280	Dead	Burned	Sonora
334	67.138	28.837	Dead	Burned	Sonora
335	74.075	30.539	Dead	Burned	Sonora
336	52.189	36.641	Dead	Burned	Sonora
337	48.443	34.199	Dead	Burned	Sonora
338	44.230	39.867	Dead	Burned	Sonora
339	40.883	39.555	Dead	Burned	Sonora
340	41.242	37.749	Dead	Burned	Sonora
341	39.521	36.981	Dead	Burned	Sonora
342	39.281	35.060	Dead	Burned	Sonora
343	35.485	34.598	Dead	Burned	Sonora
344	30.504	34.124	Dead	Burned	Sonora
345	31.532	32.220	Dead	Burned	Sonora
346	27.865	36.991	Dead	Burned	Sonora
347	23.910	33.964	Dead	Burned	Sonora
348	21.640	36.939	Dead	Burned	Sonora
349	19.592	33.745	Dead	Burned	Sonora
350	14.569	34.122	Dead	Burned	Sonora
351	13.729	38.929	Dead	Burned	Sonora
352	9.915	40.201	Dead	Burned	Sonora
353	7.082	38.768	Dead	Burned	Sonora
354	3.096	39.954	Dead	Burned	Sonora
355	1.076	43.263	Dead	Burned	Sonora
356	1.682	36.191	Dead	Burned	Sonora
357	5.175	27.833	Dead	Burned	Sonora
358	7.908	23.578	Dead	Burned	Sonora
359	9.952	20.706	Dead	Burned	Sonora
360	12.917	20.423	Dead	Burned	Sonora
361	11.922	18.001	Dead	Burned	Sonora
362	18.554	20.457	Dead	Burned	Sonora
363	14.322	12.417	Dead	Burned	Sonora
364	14.946	10.867	Dead	Burned	Sonora
365	11.293	15.237	Dead	Burned	Sonora
366	9.710	15.797	Dead	Burned	Sonora
368	22.256	16.782	Dead	Burned	Sonora
369	26.050	22.239	Dead	Burned	Sonora
370	26.593	18.762	Dead	Burned	Sonora
371	28.205	19.514	Dead	Burned	Sonora
372	26.125	16.340	Dead	Burned	Sonora
373	38.566	17.929	Dead	Burned	Sonora
374	37.675	14.181	Dead	Burned	Sonora
375	35.482	13.878	Dead	Burned	Sonora
376	36.164	11.802	Dead	Burned	Sonora
377	34.088	7.497	Dead	Burned	Sonora
378	40.692	15.052	Dead	Burned	Sonora
379	44.545	8.645	Dead	Burned	Sonora
380	46.864	5.873	Dead	Burned	Sonora
381	48.763	8.204	Dead	Burned	Sonora
382	57.493	12.443	Dead	Burned	Sonora
383	61.202	12.523	Dead	Burned	Sonora
384	61.675	14.832	Dead	Burned	Sonora
385	65.608	21.961	Dead	Burned	Sonora
386	69.358	19.680	Dead	Burned	Sonora
387	70.355	19.624	Dead	Burned	Sonora
388	73.395	19.524	Dead	Burned	Sonora
389	77.272	22.206	Dead	Burned	Sonora
390	80.836	20.460	Dead	Burned	Sonora
391	82.141	18.466	Dead	Burned	Sonora
392	79.951	15.896	Dead	Burned	Sonora
393	78.795	14.667	Dead	Burned	Sonora
394	75.285	12.712	Dead	Burned	Sonora
395	72.142	14.872	Dead	Burned	Sonora
396	69.799	16.140	Dead	Burned	Sonora
397	71.921	7.927	Dead	Burned	Sonora
398	82.084	6.123	Dead	Burned	Sonora
399	81.326	109.797	Dead	Burned	Sonora
400	73.720	109.220	Dead	Burned	Sonora
401	63.664	112.412	Dead	Burned	Sonora
402	66.161	118.735	Dead	Burned	Sonora
403	62.309	109.223	Dead	Burned	Sonora
404	59.423	113.027	Dead	Burned	Sonora
405	51.895	113.596	Dead	Burned	Sonora
406	52.704	111.006	Dead	Burned	Sonora
407	50.703	111.131	Dead	Burned	Sonora
408	48.863	111.217	Dead	Burned	Sonora
409	44.374	110.466	Dead	Burned	Sonora
410	45.484	117.847	Dead	Burned	Sonora
411	44.086	119.169	Dead	Burned	Sonora
412	41.326	120.173	Dead	Burned	Sonora
413	40.493	118.470	Dead	Burned	Sonora
414	39.220	110.745	Dead	Burned	Sonora
415	33.517	110.772	Dead	Burned	Sonora
416	31.740	114.049	Dead	Burned	Sonora
417	31.695	116.030	Dead	Burned	Sonora
418	28.429	118.161	Dead	Burned	Sonora
419	27.631	114.712	Dead	Burned	Sonora
420	25.539	113.991	Dead	Burned	Sonora
421	24.115	111.546	Dead	Burned	Sonora
422	18.963	113.613	Dead	Burned	Sonora
423	19.887	116.854	Dead	Burned	Sonora
424	15.481	114.565	Dead	Burned	Sonora
425	15.311	119.737	Dead	Burned	Sonora
426	17.005	121.811	Dead	Burned	Sonora
427	18.595	123.608	Dead	Burned	Sonora
428	12.348	126.790	Dead	Burned	Sonora
429	11.351	123.135	Dead	Burned	Sonora
430	8.383	118.686	Dead	Burned	Sonora
431	5.320	122.728	Dead	Burned	Sonora
432	2.254	120.845	Dead	Burned	Sonora
433	3.210	119.274	Dead	Burned	Sonora
434	2.486	112.205	Dead	Burned	Sonora
435	5.899	111.522	Dead	Burned	Sonora
436	6.614	108.149	Dead	Burned	Sonora
437	1.127	106.374	Dead	Burned	Sonora
438	2.079	101.108	Dead	Burned	Sonora
439	9.122	105.347	Dead	Burned	Sonora
440	7.574	101.436	Dead	Burned	Sonora
441	5.038	97.222	Dead	Burned	Sonora
442	7.741	95.270	Dead	Burned	Sonora
443	10.968	93.035	Dead	Burned	Sonora
444	12.989	94.852	Dead	Burned	Sonora
445	14.449	102.161	Dead	Burned	Sonora
446	16.326	104.161	Dead	Burned	Sonora
447	17.459	108.057	Dead	Burned	Sonora
448	18.327	102.975	Dead	Burned	Sonora
449	23.044	100.641	Dead	Burned	Sonora
450	24.043	105.748	Dead	Burned	Sonora
451	22.068	108.542	Dead	Burned	Sonora
452	32.181	103.418	Dead	Burned	Sonora
453	28.178	108.620	Dead	Burned	Sonora
454	31.364	106.368	Dead	Burned	Sonora
455	32.715	107.808	Dead	Burned	Sonora
456	31.567	109.273	Dead	Burned	Sonora
457	32.522	105.452	Dead	Burned	Sonora
458	41.170	109.055	Dead	Burned	Sonora
459	45.709	109.070	Dead	Burned	Sonora
460	46.832	105.973	Dead	Burned	Sonora
461	50.002	107.718	Dead	Burned	Sonora
462	51.516	102.712	Dead	Burned	Sonora
463	51.174	99.396	Dead	Burned	Sonora
464	54.160	99.296	Dead	Burned	Sonora
465	56.672	105.764	Dead	Burned	Sonora
466	51.437	94.413	Dead	Burned	Sonora
467	53.398	92.152	Dead	Burned	Sonora
468	54.562	90.047	Dead	Burned	Sonora
469	50.598	89.386	Dead	Burned	Sonora
470	57.031	92.077	Dead	Burned	Sonora
471	58.710	95.013	Dead	Burned	Sonora
472	60.741	92.607	Dead	Burned	Sonora
473	66.815	93.809	Dead	Burned	Sonora
474	69.729	92.319	Dead	Burned	Sonora
475	64.078	98.633	Dead	Burned	Sonora
476	60.557	101.396	Dead	Burned	Sonora
477	56.762	97.237	Dead	Burned	Sonora
478	59.587	104.585	Dead	Burned	Sonora
479	74.428	101.380	Dead	Burned	Sonora
480	77.722	102.049	Dead	Burned	Sonora
481	79.646	106.575	Dead	Burned	Sonora
482	80.562	105.187	Dead	Burned	Sonora
483	79.311	96.029	Dead	Burned	Sonora
484	78.212	74.380	Dead	Burned	Sonora
485	79.701	69.555	Dead	Burned	Sonora
486	80.530	65.799	Dead	Burned	Sonora
487	76.468	65.952	Dead	Burned	Sonora
488	76.227	61.621	Dead	Burned	Sonora
489	80.163	62.017	Dead	Burned	Sonora
490	73.469	66.039	Dead	Burned	Sonora
491	58.953	66.856	Dead	Burned	Sonora
492	52.662	74.464	Dead	Burned	Sonora
493	50.965	69.946	Dead	Burned	Sonora
494	48.482	65.029	Dead	Burned	Sonora
495	44.965	67.482	Dead	Burned	Sonora
496	45.313	64.595	Dead	Burned	Sonora
497	43.660	65.022	Dead	Burned	Sonora
498	39.312	66.634	Dead	Burned	Sonora
499	45.474	71.386	Dead	Burned	Sonora
500	40.261	72.317	Dead	Burned	Sonora
501	39.414	76.342	Dead	Burned	Sonora
502	37.097	73.409	Dead	Burned	Sonora
503	34.189	67.876	Dead	Burned	Sonora
504	37.761	65.273	Dead	Burned	Sonora
505	33.828	65.597	Dead	Burned	Sonora
506	24.612	67.415	Dead	Burned	Sonora
507	20.245	66.679	Dead	Burned	Sonora
508	18.649	66.181	Dead	Burned	Sonora
509	18.451	68.778	Dead	Burned	Sonora
510	13.179	65.821	Dead	Burned	Sonora
511	13.383	72.645	Dead	Burned	Sonora
512	9.807	71.112	Dead	Burned	Sonora
513	10.557	69.588	Dead	Burned	Sonora
514	8.598	65.234	Dead	Burned	Sonora
515	3.035	65.400	Dead	Burned	Sonora
516	6.487	69.685	Dead	Burned	Sonora
517	5.435	71.541	Dead	Burned	Sonora
518	1.724	69.848	Dead	Burned	Sonora
519	0.259	60.791	Dead	Burned	Sonora
520	2.401	57.553	Dead	Burned	Sonora
521	5.841	55.723	Dead	Burned	Sonora
522	9.037	59.611	Dead	Burned	Sonora
523	5.660	55.356	Dead	Burned	Sonora
524	8.105	52.319	Dead	Burned	Sonora
525	8.019	63.168	Dead	Burned	Sonora
526	11.572	65.052	Dead	Burned	Sonora
527	11.433	60.314	Dead	Burned	Sonora
528	14.305	60.486	Dead	Burned	Sonora
529	15.463	60.852	Dead	Burned	Sonora
530	18.290	62.763	Dead	Burned	Sonora
531	22.389	60.312	Dead	Burned	Sonora
532	20.580	58.730	Dead	Burned	Sonora
533	18.807	56.206	Dead	Burned	Sonora
534	26.829	63.000	Dead	Burned	Sonora
535	27.893	58.712	Dead	Burned	Sonora
536	27.172	55.734	Dead	Burned	Sonora
537	24.497	55.774	Dead	Burned	Sonora
538	29.289	56.196	Dead	Burned	Sonora
